index,x_m,y_m
0,697184.2750687676,9301557.073252006
1,697171.5069586505,9301589.931193646
2,701607.2022901506,9300334.575439893
3,701574.8602146468,9300338.670429923
4,698133.8954707334,9301649.061258055
5,699598.0793984493,9298578.248327892
6,699603.683040435,9298603.406641683
7,699515.881878644,9298260.67904445
8,699534.4360953927,9298285.454948666
9,700353.0561703553,9300834.686776696
10,700347.5266186015,9300926.232331187
11,700412.0179651431,9301394.92324367
12,698755.8738022909,9301898.695385862
13,701218.8609086646,9300311.388236206
14,700469.1047096695,9300287.341877302
15,698032.7256714717,9301640.981593836
16,698017.0728191639,9301658.631513657
17,698416.151620673,9302416.97812415
18,698415.3925767338,9302460.102891307
19,698399.148520823,9301965.801804045
20,701210.2469862489,9300268.613010999
21,698417.7901909768,9302063.512346417
22,700338.506976414,9300339.76211344
23,700342.0654343045,9300382.872317499
24,700500.4569805582,9300286.624250755
25,698407.4822241112,9302013.679191584
26,700356.3295485536,9300781.648627324
27,697051.9674602372,9302008.597013729
28,697044.7216321231,9302049.736315802
29,700352.4523569196,9300810.644629873
30,697035.0990257513,9302306.891210385
31,700341.5905858233,9300406.973523345
32,700512.644472318,9301688.454325804
33,700705.1170510282,9300283.194932487
34,700635.2461360164,9300282.686735345
35,698361.0372842038,9301547.292519754
36,698356.5020263264,9301576.718602493
37,698394.4243269437,9301906.937352654
38,700374.6071671762,9300648.904715484
39,697162.3944011946,9301614.21638206
40,697030.993025908,9302282.446663057
41,700933.490362281,9300263.683793489
42,700912.7279254571,9300294.4698253
43,701531.2904501384,9300336.570612779
44,701036.1890975967,9300257.66206511
45,701008.9346941358,9300259.936175
46,698556.408500769,9301959.249758156
47,701230.4345670008,9300344.256649835
48,698093.7032741844,9301664.871201105
49,699578.6195961363,9298477.701569073
50,700810.6935590606,9302090.871475207
51,700908.7166242732,9302106.599993356
52,701366.9237418212,9300342.13639171
53,701292.3599298293,9300344.592885891
54,700950.3031471281,9301506.928779831
55,700920.4645548118,9301514.052258069
56,700918.7348523389,9301932.979332954
57,700885.4383497578,9301270.195856938
58,700892.7461544046,9301325.33734109
59,700442.2996152833,9300287.816904835
60,700382.9261857964,9300289.340005249
61,701413.8968140613,9300341.778312804
62,699504.9616877371,9302234.096177556
63,699524.5463487512,9302233.442230782
64,698433.6107980303,9302268.179406075
65,700925.5996714481,9301708.77041186
66,699611.6243295798,9298640.512550868
67,698281.2910844554,9301571.378848093
68,698277.7778858051,9301544.117488164
69,700322.2068033546,9301003.78961849
70,700541.5480673093,9300284.595216274
71,699553.9019438458,9298376.625655957
72,697028.2328118768,9302125.623682486
73,697023.4961852189,9302187.017652093
74,700371.4506907379,9301315.563010376
75,700402.2590330738,9301334.86593546
76,697101.5418932633,9301726.93527193
77,700928.8850215685,9301667.162515907
78,700895.1187498604,9301351.994579287
79,700334.7653543059,9301226.005858537
80,700900.0165838628,9300409.404949581
81,700876.5532454883,9300516.00523034
82,698391.7000502837,9301863.591210734
83,700978.5981554035,9300261.590629058
84,700907.0169306998,9300335.334160065
85,700921.4756642027,9301852.608255833
86,697189.8917703658,9301539.070893079
87,700416.52323944,9301431.900209237
88,700917.3153601597,9302014.63981213
89,700923.3888342514,9301763.392108072
90,699539.0036964101,9298307.027931
91,698730.9322090498,9301871.729090426
92,698426.7208218949,9301780.010595135
93,698431.5984446177,9301738.794847494
94,700412.5258577189,9301544.050578548
95,700413.5008632257,9301576.198352234
96,698301.7706327741,9301570.401440637
97,698410.7769350228,9301672.174375476
98,697068.8641576621,9301914.48732341
99,697058.4353381236,9301974.577301152
100,697027.8603105736,9302259.469733082
101,697035.113264777,9302332.107332036
102,697051.9320135551,9302396.439573696
103,700869.5288264606,9302178.869465202
104,700859.8207231706,9300309.795750279
105,698421.9382658261,9302146.612467786
106,698428.3536072788,9302219.706726864
107,698427.9851606974,9302241.263545854
108,700933.8393584728,9301418.816363491
109,698418.8048801759,9302366.375943806
110,699594.1433554607,9298555.32936644
111,701700.1685336195,9300310.00588756
112,699617.9405132697,9298681.229637967
113,699518.9424532843,9302433.634031536
114,699520.729526621,9302633.545866711
115,699508.3949176632,9302833.152602423
116,699503.4540986193,9302946.853954803
117,699510.3422273727,9303060.337454796
118,700421.1945169324,9301627.887735162
119,700415.5557670016,9301473.466730377
120,698461.1002539472,9302271.829455052
121,698155.7117978022,9301657.09304014
122,698235.9410441453,9301590.049039215
123,698258.4960069312,9301577.982593553
124,698425.3513003059,9302297.489574343
125,698421.5034767073,9302338.601031478
126,700381.0189216349,9300574.006757315
127,698375.2428485207,9301629.959838573
128,698399.6878287997,9301659.007165385
129,698692.116384353,9301909.654337108
130,698610.7997705617,9301918.118914248
131,699550.9384311398,9298350.175212856
132,700318.0389577696,9300302.683181925
133,700688.8092136849,9301502.454384005
134,700602.5521794856,9301522.176116427
135,700379.1231542756,9300496.770915955
136,700613.0107448555,9301500.285278365
137,700708.3589849984,9301492.8894646
138,700660.4363759285,9301502.55324508
139,700191.250603361,9300224.03541184
140,700868.5575943552,9301522.498776255
141,700799.467017125,9301520.903747434
142,698423.2754864166,9302319.726915516
143,697307.9798653177,9304240.272498885
144,697127.1234296985,9304289.06551531
145,698503.8155396946,9302802.519786108
146,696850.5549424812,9308119.6493362
147,698135.3146619571,9308350.360961579
148,698150.6413663343,9308393.839969723
149,694351.407856917,9310353.46996537
150,696699.8619268081,9303365.548613537
151,697966.0304886847,9307836.43770668
152,697985.7451463034,9307914.043205068
153,694633.0590989332,9310227.071287071
154,699811.1783630891,9304121.012330541
155,696015.7522404172,9305434.122824116
156,697128.0590498076,9307150.211740145
157,695177.8749469274,9310189.847371176
158,697318.4399795432,9310116.299078308
159,696889.303256699,9304715.082788132
160,695795.272513302,9306294.932675336
161,695838.6812759356,9306286.712564182
162,699815.6895074584,9309093.334707614
163,698853.8213163152,9306618.726883207
164,698062.8951180587,9309446.076197688
165,694503.4358091361,9310315.792118048
166,697939.8991602993,9311434.736985184
167,696953.7976968454,9305503.779915009
168,695250.9077351443,9306497.41513115
169,695203.6906150876,9306512.097143546
170,695174.8447205067,9306521.755229833
171,695147.5733984242,9306530.694657912
172,694344.614117152,9307168.905625153
173,695427.2914011827,9306295.916740721
174,697128.2922383636,9309233.404874086
175,699956.2020121242,9305539.750570383
176,700748.204194431,9310206.864318756
177,696311.5319911814,9303310.293691572
178,696292.1555576052,9303264.804744307
179,696275.0769646382,9303224.671930999
180,698596.1969070385,9304299.644102372
181,700107.9456178527,9306524.358679721
182,700109.1864033893,9306476.608914915
183,697953.125152068,9309386.273194822
184,696291.3656873727,9303479.746759648
185,701648.9371853865,9303974.345644614
186,694325.189064168,9310416.347082628
187,695807.2911363066,9310158.868063102
188,699427.7026939985,9309938.083968135
189,696299.4448603436,9306204.5131811
190,694236.4721371921,9306435.421815518
191,696781.2859068365,9306502.669583762
192,696772.7644237975,9306300.38721103
193,696797.3283545326,9308118.104192017
194,698941.9804365134,9309388.777388956
195,699629.4214960176,9309338.013132824
196,697325.530376318,9310204.080120968
197,698558.3090541267,9303558.037617316
198,696107.4773110582,9306277.104698965
199,696658.3520226029,9308124.66937501
200,698516.779247593,9309285.532792289
201,700054.7635362716,9308885.647006484
202,698544.4462846501,9303189.796620809
203,696377.258157552,9306802.24059311
204,700047.0088743231,9305699.369509267
205,700023.4300211022,9305701.64352856
206,697824.5849710895,9309544.753497468
207,697839.0812078859,9309493.641465701
208,696715.7314529355,9310119.25983821
209,699236.5797400768,9310595.789822415
210,697904.8611159972,9304161.58845491
211,698104.5646946693,9304177.837017836
212,698253.736418649,9304177.032606624
213,698601.2266640675,9304175.6243299
214,695907.145768697,9306273.184307
215,700766.1519722732,9310160.704888117
216,695918.0543908296,9304490.28163753
217,698971.7142410226,9304113.344507776
218,697246.1485926264,9309694.649070233
219,699074.5350191524,9305768.015932936
220,699108.7193978523,9305761.37319274
221,698872.6382173003,9308857.45264454
222,698872.1341170773,9308896.169190653
223,701639.3384350566,9304011.242015803
224,699208.2493151432,9305756.961111397
225,699252.9538715393,9305752.295002991
226,697803.006935692,9309841.07600654
227,696191.8288011422,9310151.166670619
228,698256.1034971577,9309714.43668177
229,694862.4955653643,9310208.820024272
230,697200.7722853028,9310062.675979337
231,697257.1044544331,9310073.231962683
232,699324.7011589326,9310411.370609365
233,699987.0295516584,9310904.45948292
234,699795.6968046468,9304171.544281479
235,698668.2183756328,9304882.138576258
236,696010.5381977916,9305129.55754187
237,695497.8884098836,9307450.91436816
238,696923.6424728925,9309110.781633822
239,700156.0011810263,9309398.941400446
240,700216.304435882,9309404.40789524
241,698882.2642485352,9310794.946533836
242,698881.6686712233,9310759.822666124
243,700013.2783709458,9310960.556814905
244,700379.8897351506,9310030.388791632
245,700343.9293767947,9310033.994988076
246,700849.4156738364,9310032.698444277
247,697077.7644118462,9302935.275412306
248,696680.2820264888,9304642.00891867
249,698601.934441346,9304154.547445558
250,696038.6412680766,9305340.359002724
251,696044.5430546218,9305370.775202217
252,697073.6350350378,9308855.2817818
253,696160.7300054536,9310146.393977173
254,698987.6668790188,9310285.327879228
255,698882.4233928677,9310864.40147926
256,700427.1632799604,9310031.508651443
257,696341.2239269472,9303368.702879107
258,698990.5801163272,9304112.67128198
259,700025.426013273,9308860.473823924
260,697331.7952552501,9310377.086048158
261,697369.1097570142,9310388.672053395
262,696959.2870670098,9310829.922918119
263,700673.9473829886,9310392.306688666
264,695576.9829938099,9306229.189821193
265,695635.8761521489,9305900.265700432
266,697065.3296308885,9309074.825013252
267,699956.9729290837,9305424.532802366
268,700059.4349003081,9308506.023222486
269,698247.9548132492,9309342.712643359
270,698249.9971751643,9309308.696923729
271,697764.3443729958,9309866.061880607
272,697444.8720567117,9310421.72878178
273,700629.8956684498,9310056.991819868
274,697893.9971374201,9309830.898738433
275,695356.8191382645,9306742.17895451
276,698694.0697897192,9305191.203733608
277,696004.1950879584,9305446.095302556
278,694007.188483959,9306754.471724918
279,696401.3442966224,9307359.842952678
280,698018.1131560516,9310376.972504169
281,698204.7749477747,9308654.942445636
282,698227.0600652414,9308788.000283388
283,699278.3103867233,9305749.852065343
284,697747.7003128724,9309861.234364197
285,696956.9918646789,9310882.801487695
286,696829.1544935763,9303285.969775697
287,696969.1084720254,9305498.961121768
288,694832.9545149689,9308376.800358487
289,694934.898254853,9308761.730508085
290,694900.9866608279,9308883.37782362
291,699131.5476333018,9311121.367371505
292,696964.0773977252,9304189.840392549
293,699423.6027780012,9304123.875848372
294,699423.8184417246,9304141.482381796
295,696167.8617744952,9305963.888277467
296,697901.6832951523,9309357.777432485
297,699412.7674644405,9309680.352667911
298,697110.3326158257,9302756.440538527
299,696079.5271862445,9305564.549182408
300,694218.6369376613,9306449.870016789
301,695198.6648214202,9306380.565554488
302,697030.669728366,9309760.840262538
303,698868.7013191023,9308678.579384645
304,700755.9844822714,9310187.493779361
305,696251.4371194904,9303539.73188412
306,696272.4638410518,9303510.739384044
307,696112.4848163158,9305775.35639889
308,698913.6452900355,9309318.323691182
309,698881.0850050235,9310698.962622961
310,699115.3655682896,9311089.409944363
311,693932.3027339224,9310305.709564164
312,695142.8854906767,9310167.882244328
313,697091.2583195729,9302839.545800008
314,697084.6793027491,9302888.303735195
315,696669.8387564308,9304558.366770862
316,698548.6901611115,9303325.759537179
317,698599.6828103742,9309296.224737357
318,698627.1507401501,9309292.614065941
319,696878.0704691213,9303939.730477544
320,696895.128862224,9303934.795034457
321,696050.9193625494,9305309.261919482
322,695708.3949546145,9305788.760925269
323,695500.6792856888,9307566.62177469
324,695484.990668417,9307538.26240288
325,695469.313055968,9307509.880874647
326,699421.3832397613,9309749.823128916
327,700721.9508096373,9309833.638942426
328,700743.4073165603,9309874.398200665
329,698545.4613013543,9303228.32271846
330,698546.1068112884,9303251.916587906
331,696069.8013421256,9305378.674770785
332,696055.0070975765,9305402.038612278
333,699223.7445276717,9310823.721032009
334,696798.2865889757,9309118.084542077
335,699562.5458883217,9309296.49509071
336,699591.7798337669,9309310.850131141
337,697089.877713166,9308857.383430459
338,697022.181554643,9309842.84340034
339,698813.6253801145,9308120.05980805
340,694794.5589644377,9310222.012578832
341,696980.7968858081,9310502.008028664
342,699868.3835859207,9311417.49384017
343,694085.8494462564,9306830.408969779
344,694237.3383646562,9306985.14513087
345,697326.416988913,9307373.584690109
346,700043.936866648,9307751.481766552
347,695834.2230576634,9310165.308344549
348,698154.669572077,9308419.7613868
349,699692.7449789129,9309390.721115561
350,694110.3033288389,9310343.892237265
351,696289.8846884122,9310140.960453205
352,699990.982517095,9310675.970282609
353,697104.2006763486,9308541.01639748
354,697918.9566773428,9307654.410750883
355,696725.792980406,9303362.733511856
356,700182.7100289196,9304119.575604403
357,701034.0723299575,9304159.098119939
358,695585.0741356972,9307757.027763374
359,695582.241242043,9307734.077519774
360,696994.0627904742,9309100.83303695
361,698073.918533771,9308216.79124587
362,698081.8118689982,9308237.014777068
363,698158.847338044,9308447.352318827
364,696972.0311241329,9310633.072795436
365,696393.9648601343,9307191.94342168
366,696825.4529902803,9308119.081788402
367,699320.4421006236,9305746.842665015
368,698600.6523784463,9304210.32827469
369,696066.5939147125,9305478.930373682
370,696058.7803479958,9305433.300340941
371,699416.2214049913,9309899.601020478
372,701658.7472893593,9304099.543483097
373,697143.9382691493,9307188.119178575
374,700054.158714333,9305779.71694367
375,701456.2201299259,9302910.12017098
376,696400.7466756166,9306151.581406184
377,694023.1875129446,9306770.034310259
378,695359.7560804539,9306777.782256128
379,696670.1926299491,9308441.972835433
380,699928.7098718871,9308938.227288665
381,696975.9904958423,9310576.500190865
382,700234.6318677587,9310929.108131286
383,696949.3963405351,9304350.18985873
384,695374.392087225,9306316.170949595
385,695391.6011037418,9306309.73157313
386,695584.6100226773,9306929.05052054
387,695566.8266790038,9306975.306492684
388,695559.312307117,9307024.569256669
389,695557.9755533595,9307074.54114281
390,695565.2661483176,9307126.397284534
391,695559.7067177008,9307174.52537453
392,695558.1596570013,9307224.497965313
393,695554.044591005,9307274.324366776
394,695547.1727095048,9307323.806138996
395,695533.7667265335,9307371.905330917
396,695517.2683949851,9307412.040934563
397,696522.9174235794,9307657.797578225
398,697084.2528224676,9309083.45831522
399,693553.2797424202,9310327.147598311
400,695856.7468055609,9310157.562856343
401,699861.5191804958,9311389.303661956
402,696567.6884335008,9305921.93093009
403,696556.2783488559,9305951.178247683
404,696377.8972484792,9307046.756662617
405,698876.7790528021,9305982.635922773
406,698888.4826666422,9309026.386707602
407,698895.624168114,9309075.888091803
408,698902.7766990525,9309125.378380297
409,698908.8637915086,9309167.517543174
410,695113.4966683058,9310150.268273165
411,701675.1499124715,9309894.972299036
412,696632.6507786005,9304696.883122953
413,695484.6749675892,9307599.025008667
414,699304.3541069835,9310463.426784657
415,698557.1180304479,9304123.026114617
416,694346.7638737288,9307388.01039568
417,694351.7476943146,9307347.797756419
418,697324.7915497237,9307278.173402824
419,697816.7108568086,9309585.596191017
420,693494.6502073118,9310328.613943653
421,696264.1763838942,9310147.90395958
422,696652.7683215204,9307909.592965309
423,698856.6609060217,9306483.194428384
424,698837.2126618559,9306829.7905944
425,697418.0958192378,9310392.336373238
426,697109.5679598289,9308194.741015112
427,697188.2085594517,9309265.551683437
428,697223.1111358401,9310347.205283867
429,696904.7456314627,9304734.368135957
430,698619.3053228331,9304657.88019518
431,696647.5097175054,9308001.489046695
432,700058.2348670369,9305854.489753233
433,700061.5390161078,9305904.391567606
434,700065.2967390168,9305954.247577546
435,700071.4440950184,9306003.87414335
436,700076.2483649803,9306042.721966766
437,696961.6638591582,9310774.443201376
438,701114.3421789124,9311285.548373852
439,697376.6186157594,9307348.14265666
440,698231.6733861475,9308829.470665175
441,694478.1499780226,9310343.24881763
442,697295.0288869344,9310380.307115573
443,697997.5801961652,9309411.603777666
444,699416.9755138007,9309970.81073423
445,700955.2320024301,9310048.403915122
446,696742.8908477118,9304490.96165747
447,699991.0916718696,9310397.80353509
448,698187.5943842301,9309196.597425496
449,698137.6206680282,9309198.437487733
450,698102.7957413278,9309202.836081326
451,698068.6145080501,9309211.014898898
452,698914.9619512247,9309209.656669537
453,698919.966116653,9309242.564601019
454,696148.2237115935,9305907.62880239
455,695242.391782887,9306477.908836557
456,695221.9309456787,9306432.279396284
457,695211.2823415227,9306408.514957707
458,699959.5101084097,9305515.13757358
459,700031.2687915459,9308026.597513948
460,698654.8731032761,9309288.969333488
461,698685.7138083053,9309287.791342083
462,697915.784059856,9309337.438583637
463,699430.6941379166,9309912.49236079
464,694027.8336453104,9310323.757338868
465,697016.7012345856,9309685.095402425
466,698232.6340148678,9308860.503854128
467,693901.0206251066,9310305.916041015
468,697170.1593085692,9310064.16749043
469,699597.2176768226,9304150.937396977
470,699622.286776557,9304151.99000763
471,699809.0686414624,9304184.745581083
472,699764.5019067995,9304273.809845604
473,699695.6642558224,9304192.470073633
474,699697.5474775024,9304023.236608246
475,695715.3478533144,9310163.462286925
476,695761.4528364921,9310167.91941085
477,696793.5556961064,9303312.20308232
478,696238.6805079139,9305184.149393769
479,696325.6541892397,9305047.826091778
