from,to,distance
0,1,35.25
1,0,35.25
2,3,32.61
3,2,32.61
4,48,43.19
5,6,23.25
6,5,23.25
7,8,31.45
8,7,31.45
9,10,88.3
10,9,88.3
12,129,64.75
15,16,23.59
16,15,23.59
17,18,43.13
18,17,43.13
19,37,44.85
22,23,43.25
23,22,43.25
25,21,48.43
27,28,39.72
28,27,39.72
29,9,24.05
9,29,24.05
32,4233,37.28
33,34,69.87
34,33,69.87
35,36,25.71
36,35,25.71
38,26,127.93
26,38,127.93
1,39,25.94
39,1,25.94
40,30,19.43
41,42,41.15
42,41,41.15
44,45,25.81
45,44,25.81
46,19,157.34
47,13,29.23
13,47,29.23
48,15,67.97
49,71,99.05
3,43,32.17
43,3,32.17
50,51,99.27
51,88,92.79
26,29,23.09
29,26,23.09
52,53,72.79
53,52,72.79
54,55,26.7
55,54,26.7
56,85,80.41
37,82,42.14
57,58,55.62
58,57,55.62
59,60,59.39
60,59,59.39
61,52,45.56
52,61,45.56
62,63,19.59
63,62,19.59
65,77,41.73
6,66,31.17
66,6,31.17
67,68,27.48
68,67,27.48
10,69,77.69
69,10,77.69
70,24,35.99
24,70,35.99
71,49,99.62
72,73,51.49
73,72,51.49
74,75,36.35
75,74,36.35
39,76,128.18
76,39,128.18
77,55,153.76
58,78,26.76
78,58,26.76
68,4,180.24
14,59,24.82
59,14,24.82
79,74,97.99
74,79,97.99
80,81,109.14
81,80,109.14
82,37,42.44
71,131,26.5
83,41,45.15
41,83,45.15
75,11,48.23
11,75,48.23
13,20,28.03
20,13,28.03
34,70,93.71
70,34,93.71
42,84,41.26
84,42,41.26
28,72,75.6
72,28,75.6
84,80,74.39
80,84,74.39
19,25,37.96
85,89,89.23
86,0,15.26
0,86,15.26
23,31,21.98
31,23,21.98
16,4234,85.06
11,87,26.37
87,11,26.37
24,14,24.22
14,24,24.22
45,83,30.38
83,45,30.38
86,0,15.57
88,56,81.67
30,40,22.07
89,65,54.66
8,90,22.05
90,8,22.05
43,61,107.43
61,43,107.43
91,129,55.63
82,92,86.54
92,93,30.94
94,95,32.16
95,118,53.63
67,96,20.5
96,36,54.4
97,93,66.58
98,99,60.98
99,98,60.98
99,27,34.63
27,99,34.63
37,19,50.49
12,91,33.4
73,100,64.47
100,73,64.47
100,40,20.66
