edge_idx,requested_lat,requested_lon,frc_response,currentSpeed,freeFlowSpeed,confidence,matched_lat,matched_lon,match_distance_m,valid_match,error
16,-6.312255347500259,106.79345654999996,FRC2,19.0,19.0,1.0,-6.311925749488353,106.79347692215664,36.71872286733981,True,
42,-6.343948012500399,106.80413485000012,FRC3,22.0,31.0,0.99,-6.344409992893542,106.80400459254253,53.34873879510851,True,
66,-6.315682399999997,106.79240875,FRC2,24.0,24.0,1.0,-6.315743875271233,106.79310141289449,76.85773748097219,True,
99,-6.326837350000016,106.81621765,FRC4,22.0,28.0,0.983722,-6.327002475266842,106.81623948896686,18.51904754631159,True,
126,-6.312658550000066,106.7963021750004,FRC4,19.0,19.0,1.0,-6.312916815346788,106.79639784777451,30.60257363472397,True,
139,-6.3127071000000665,106.7965904250004,FRC4,21.0,26.0,0.97,-6.312601650611054,106.79666740978058,14.487200190600705,True,
147,-6.310311399999997,106.8159725,FRC4,21.0,28.0,0.982668,-6.310650340912438,106.81608794415746,39.78965304423309,True,
154,-6.309375829168253,106.79375400000173,FRC2,27.0,27.0,1.0,-6.309235465996875,106.79372770869958,15.87585711397768,True,
201,-6.326798549999996,106.8109616,FRC3,21.0,30.0,1.0,-6.327026634731526,106.8108080157104,30.51775450426777,True,
232,-6.236146999999994,106.7565695,FRC4,35.0,35.0,1.0,-6.236325001421915,106.7566448279556,21.472961089483896,True,
236,-6.280705860000724,106.7720268199991,FRC3,21.0,21.0,1.0,-6.280738365805309,106.77178992116166,26.43213827529164,True,
249,-6.2651571750006205,106.75676640937354,FRC6,15.0,20.0,0.97,-6.265385429444308,106.7568446525272,26.813699351168083,True,
250,-6.246878229999989,106.78159705000002,FRC2,20.0,34.0,1.0,-6.246180771607772,106.7818079718346,80.9823986575944,True,
252,-6.237490150000006,106.81448225,FRC6,17.0,17.0,1.0,-6.237502520951984,106.8144719132256,1.7882274866181005,True,
261,-6.298189475001319,106.77470093000233,FRC6,36.0,36.0,1.0,-6.298418122711366,106.77436215960756,45.258375365884646,True,
276,-6.292074149999998,106.7898442499998,FRC1,48.0,48.0,1.0,-6.292157855420533,106.78948311293254,40.98555451353853,True,
295,-6.262321800000003,106.7670213,FRC2,18.0,18.0,1.0,-6.262455113568275,106.76712287747466,18.595741264664184,True,
306,-6.29209747500189,106.79523792499882,FRC1,14.0,24.0,1.0,-6.292000974940895,106.79525925004742,10.986124708844246,True,
394,-6.263240549999999,106.78384350000002,FRC3,19.0,26.0,0.97,-6.263176571027888,106.78366540157788,20.931492743301,True,
405,-6.299397872501226,106.77819499250398,FRC2,19.0,25.0,0.99,-6.299429376119315,106.77839620196688,22.512595355896085,True,
438,-6.266990150000002,106.76780985,FRC2,51.0,51.0,1.0,-6.267108700785194,106.76786182605844,14.379704010176717,True,
452,-6.276143150001454,106.77675290000168,FRC3,13.0,16.0,1.0,-6.276350263794556,106.77674798452688,23.03641062252857,True,
461,-6.240171550000001,106.8229784,FRC2,21.0,26.0,0.99,-6.240226253804952,106.82293830598309,7.526051407410311,True,
464,-6.292436550002618,106.79422680000133,FRC1,28.0,28.0,1.0,-6.292493111262877,106.79461686098824,43.56784226999954,True,
470,-6.289225951669746,106.7708518308348,FRC1,37.0,37.0,1.0,-6.289258433234047,106.77091149770912,7.519000450984269,True,
523,-6.292189250001655,106.80434854999586,FRC2,53.0,53.0,1.0,-6.292182016509895,106.80424867356294,11.068114816370484,True,
533,-6.283571175000683,106.77424955000087,FRC1,24.0,24.0,1.0,-6.283151022980686,106.77395848715072,56.72364001066942,True,
560,-6.233197449999999,106.81201435,FRC4,23.0,23.0,1.0,-6.232893165161162,106.81179775083712,41.44923040618166,True,
571,-6.225887462501232,106.80789771250087,FRC4,9.0,27.0,0.94,-6.22592068662184,106.80761350477292,31.632539121206005,True,
600,-6.254899416669467,106.7972342500018,FRC1,29.0,29.0,1.0,-6.255147415707277,106.79718909943408,28.024187292920697,True,
641,-6.235636164449405,106.78472799851524,FRC5,9.0,16.0,0.98,-6.235607506446136,106.7846926876308,5.038774014583722,True,
646,-6.2534547583352325,106.77735691250048,FRC2,19.0,26.0,0.988916,-6.253540753299881,106.77768541657775,37.54860688013096,True,
671,-6.2910937666670925,106.79520555000089,FRC1,22.0,35.0,1.0,-6.29175019935465,106.79517073714992,73.09332796301153,True,
689,-6.263795770838168,106.78365914583394,FRC3,25.0,25.0,1.0,-6.263915524401169,106.78343070828902,28.545583413657017,True,
703,-6.235444892859697,106.75583232857385,FRC2,22.0,28.0,0.6,-6.235637002833079,106.7557395824128,23.694334982762854,True,
717,-6.249457100000713,106.80827449999958,FRC3,11.0,18.0,1.0,-6.249349809960934,106.8081646987256,17.018494541274702,True,
